                     , SEQ, PIPE-S, PIPE-F, PIPE-FBP
cycles               ,2097,5495,2696,2428
instructions         ,2097,2097,2097,2097
cycles: reorder      ,1926,4151,2525,2269
instructions: reorder,1926,1926,1926,1926
cycles: optimal      ,1772,3888,2371,2151
instructions: optimal,1772,1772,1772,1772
